27806 33596 1370 1910 185 211 8.3 11.2 0
40230 68838 1595 1781 189 238 6.8 10.9 0
19229 30885 1242 1910 155 170 12.2 14.3 0
19242 24742 1242 1753 167 167 13.1 13.9 0
19837 29034 1242 1242 158 174 11.2 14.1 0
18492 24192 998 1348 150 164 12.5 15.5 0
19212 30612 973 1796 155 202 9 17 0
16992 23492 1149 1149 151 168 11.7 13.4 0
21492 33042 1119 1994 160 185 10.7 15 0
19519 32686 1397 1896 157 183 11.5 16.5 0
41593 62291 1598 2492 200 227 8.5 10.5 1
68216 140265 1781 4172 216 250 6.7 9.7 1
45407 76392 1796 2979 201 247 6.6 10.9 1
27492 34092 1596 1753 185 193 10.8 11 1
55902 115248 1998 3199 210 250 5.2 11 1
36492 49092 1598 2171 193 207 10.5 12.5 1
50490 65399 1796 2497 195 210 10.2 11.6 1
27419 48679 1585 1896 190 191 11.1 11.8 1
64499 88760 1970 2959 204 211 9.8 9.9 2
123849 171417 2771 4172 232 250 5.4 10.1 2
70292 198792 2171 4398 226 250 6.7 9.1 2
104892 276792 2793 5397 228 240 7 8.6 2
58806 81306 1998 2959 212 220 8.9 9.2 2
69243 389405 1998 5439 222 250 5.7 9.7 2
128202 394342 3199 5786 210 240 7.2 8.4 2
39676 63455 1595 2496 192 220 9.6 12.7 2
260500 460000 5935 5935 298 306 4.7 5 3
240292 391692 3586 5474 295 298 4.5 5.2 3
205242 215242 2977 3179 260 270 5.7 6.5 3
413000 423000 5992 5992 335 335 3.9 3.9 3
155000 159500 3217 3217 280 290 5.1 5.7 3
132800 262500 2799 5987 232 250 6.1 9.7 3
147704 246412 3387 3600 280 305 4.2 5.2 3
