-5 15 7 23 -1 20 1
6 19 16 32 8 28 1
13 27 25 36 15 34 0
19 32 25 33 20 32 0
8 29 17 36 10 33 0
13 36 26 36 13 32 0
22 31 25 31 22 30 0
-3 10 8 22 1 18 1
13 31 22 39 14 37 0
-10 24 3 32 -8 27 1
-6 13 10 24 -2 19 1
12 23 22 30 14 29 0
22 33 23 32 23 32 0
8 18 13 27 8 24 1
2 13 8 22 3 19 1
20 35 26 39 21 24 0
1 19 9 34 1 28 1
21 31 23 31 22 29 0
6 27 18 27 8 26 0
-13 8 7 24 -11 16 1
-6 14 7 23 -4 20 1
12 26 11 22 11 24 0
6 36 26 40 7 34 0
-3 15 12 29 -2 24 1
1 16 8 24 1 21 1
4 19 13 31 5 27 1
6 18 10 22 9 23 1
0 16 12 31 1 28 1
23 31 24 30 23 30 0
-9 8 6 22 -2 15 1
16 30 5 20 11 30 0
0 18 14 31 2 27 1
-8 11 -8 27 -5 22 1
-2 14 10 24 1 19 1
-11 21 2 31 -11 23 1
